series	series_original	compartment
United Kingdom_MinchMalin_TheMinchNorth_fi02 CB156 Limanda limanda LI Not_applicable	United Kingdom_MinchMalin_TheMinchNorth_fi02 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_MinchMalin_TheMinchNorth_fi02 CB156 Pleuronectes platessa LI Not_applicable	United Kingdom_MinchMalin_TheMinchNorth_fi02 CB156 Pleuronectes platessa LI Not_applicable	biota
Ireland_Ballysadare Bay CB156 Mytilus edulis SB Not_applicable	Ireland_Ballysadare Bay CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Mulroy Bay - Broadwater CB156 Mytilus edulis SB Not_applicable	Ireland_Mulroy Bay - Broadwater CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Quigleys Point CB156 Mytilus edulis SB Not_applicable	Ireland_Quigleys Point CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Rosses Point CB156 Mytilus edulis SB Not_applicable	Ireland_Rosses Point CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Shannon Estuary - Aughinish CB156 Mytilus edulis SB Not_applicable	Ireland_Shannon Estuary - Aughinish CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Swilly Estuary CB156 Mytilus edulis SB Not_applicable	Ireland_Swilly Estuary CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Tralee Bay Inner CB156 Ostrea edulis SB Not_applicable	Ireland_Tralee Bay Inner CB156 Ostrea edulis SB Not_applicable	biota
Ireland_Westport Bay CB156 Mytilus edulis SB Not_applicable	Ireland_Westport Bay CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Corrib Estuary CB156 Mytilus edulis SB Not_applicable	Ireland_Corrib Estuary CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Inch Lough CB156 Mytilus edulis SB Not_applicable	Ireland_Inch Lough CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Tolka Estuary CB156 Mytilus edulis SB Not_applicable	Ireland_Tolka Estuary CB156 Mytilus edulis SB Not_applicable	biota
Ireland_LSE Little Island - Cheekpoint CB156 Mytilus edulis SB Not_applicable	Ireland_LSE Little Island - Cheekpoint CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Waterford Harbour Stn 2 CB156 Mytilus edulis SB Not_applicable	Ireland_Waterford Harbour Stn 2 CB156 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_LochLongNorth_sh01 CB156 Mytilus edulis SB Not_applicable	United Kingdom_Clyde_LochLongNorth_sh01 CB156 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_LochRyan_sh01 CB156 Mytilus edulis SB Not_applicable	United Kingdom_Clyde_LochRyan_sh01 CB156 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_sh01 CB156 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_BalcaryPoint_sh01 CB156 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_ClydeEstuaryOuter_sh01 CB156 Mytilus edulis SB Not_applicable	United Kingdom_Clyde_ClydeEstuaryOuter_sh01 CB156 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_SouthArran_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_Clyde_SouthArran_fi01 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSGyreIntermed_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSGyreIntermed_fi01 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_CardBay_CBInter_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_CardBay_CBInter_fi01 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_CardBay_CBInter_fi02 CB156 Limanda limanda LI Not_applicable	United Kingdom_CardBay_CBInter_fi02 CB156 Limanda limanda LI Not_applicable	biota
Ireland_Waterford Harbour Stn 1 CB156 Mytilus edulis SB Not_applicable	Ireland_Waterford Harbour Stn 1 CB156 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_BalcaryPoint_fi01 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_fi01 CB156 Pleuronectes platessa LI Not_applicable	United Kingdom_IrishSea_BalcaryPoint_fi01 CB156 Pleuronectes platessa LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi04 CB156 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi04 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi06 CB156 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi06 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi02 CB156 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi02 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi01 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi03 CB156 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi03 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi05 CB156 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi05 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi05 CB156 Merlangius merlangus LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi05 CB156 Merlangius merlangus LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi05 CB156 Pleuronectes platessa LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi05 CB156 Pleuronectes platessa LI Not_applicable	biota
United Kingdom_IrishSea_IrSOpenSea_fi04 CB156 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSOpenSea_fi04 CB156 Limanda limanda LI Not_applicable	biota
Ireland_Arthurstown CB156 Mytilus edulis SB Not_applicable	Ireland_Arthurstown CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Bannow Bay CB156 Mytilus edulis SB Not_applicable	Ireland_Bannow Bay CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Barrow Suir Nore Estuary CB156 Mytilus edulis SB Not_applicable	Ireland_Barrow Suir Nore Estuary CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Boyne Estuary CB156 Mytilus edulis SB Not_applicable	Ireland_Boyne Estuary CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Broadmeadow Water CB156 Mytilus edulis SB Not_applicable	Ireland_Broadmeadow Water CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Carlingford Lough Inner Stn 2 CB156 Mytilus edulis SB Not_applicable	Ireland_Carlingford Lough Inner Stn 2 CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Cheekpoint CB156 Mytilus edulis SB Not_applicable	Ireland_Cheekpoint CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Dublin Bay Stn 2 CB156 Mytilus edulis SB Not_applicable	Ireland_Dublin Bay Stn 2 CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Duncannon CB156 Crassostrea gigas SB Not_applicable	Ireland_Duncannon CB156 Crassostrea gigas SB Not_applicable	biota
Ireland_Rogerstown Estuary CB156 Mytilus edulis SB Not_applicable	Ireland_Rogerstown Estuary CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Sutton CB156 Mytilus edulis SB Not_applicable	Ireland_Sutton CB156 Mytilus edulis SB Not_applicable	biota
