series	series_original	compartment
Spain_MASLUA CB156 Mytilus edulis SB Not_applicable	Spain_MASLUA CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGASMO CB156 Mytilus edulis SB Not_applicable	Spain_MGASMO CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGACHO CB156 Mytilus edulis SB Not_applicable	Spain_MGACHO CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGAESP CB156 Mytilus edulis SB Not_applicable	Spain_MGAESP CB156 Mytilus edulis SB Not_applicable	biota
Spain_MASRIB CB156 Mytilus edulis SB Not_applicable	Spain_MASRIB CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGAARO CB156 Mytilus edulis SB Not_applicable	Spain_MGAARO CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGACED CB156 Mytilus edulis SB Not_applicable	Spain_MGACED CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGACOR CB156 Mytilus edulis SB Not_applicable	Spain_MGACOR CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGAPIN CB156 Mytilus edulis SB Not_applicable	Spain_MGAPIN CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGARIB CB156 Mytilus edulis SB Not_applicable	Spain_MGARIB CB156 Mytilus edulis SB Not_applicable	biota
Spain_MCASVI CB156 Mytilus edulis SB Not_applicable	Spain_MCASVI CB156 Mytilus edulis SB Not_applicable	biota
France_Hendaye - Chingoudy 2 CB156 Crassostrea gigas SB Not_applicable	France_Hendaye - Chingoudy 2 CB156 Crassostrea gigas SB Not_applicable	biota
Spain_MGAFPA CB156 Mytilus edulis SB Not_applicable	Spain_MGAFPA CB156 Mytilus edulis SB Not_applicable	biota
Spain_MCASUA CB156 Mytilus edulis SB Not_applicable	Spain_MCASUA CB156 Mytilus edulis SB Not_applicable	biota
Spain_PMCA CB156 Merluccius merluccius LI Not_applicable	Spain_PMCA CB156 Merluccius merluccius LI Not_applicable	biota
Spain_PMGA CB156 Merluccius merluccius LI Not_applicable	Spain_PMGA CB156 Merluccius merluccius LI Not_applicable	biota
Spain_MPVBIA CB156 Mytilus edulis SB Not_applicable	Spain_MPVBIA CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGAPOR CB156 Mytilus edulis SB Not_applicable	Spain_MGAPOR CB156 Mytilus edulis SB Not_applicable	biota
Spain_MASAVI CB156 Mytilus edulis SB Not_applicable	Spain_MASAVI CB156 Mytilus edulis SB Not_applicable	biota
Spain_MCAURD CB156 Mytilus edulis SB Not_applicable	Spain_MCAURD CB156 Mytilus edulis SB Not_applicable	biota
Spain_MPVFUE CB156 Mytilus edulis SB Not_applicable	Spain_MPVFUE CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGACTC CB156 Mytilus edulis SB Not_applicable	Spain_MGACTC CB156 Mytilus edulis SB Not_applicable	biota
Spain_MASGIJ CB156 Mytilus edulis SB Not_applicable	Spain_MASGIJ CB156 Mytilus edulis SB Not_applicable	biota
Spain_MCASPE CB156 Mytilus edulis SB Not_applicable	Spain_MCASPE CB156 Mytilus edulis SB Not_applicable	biota
Spain_MCASPA CB156 Mytilus edulis SB Not_applicable	Spain_MCASPA CB156 Mytilus edulis SB Not_applicable	biota
Spain_MGAVSA CB156 Mytilus edulis SB Not_applicable	Spain_MGAVSA CB156 Mytilus edulis SB Not_applicable	biota
France_Pointe er Fosse CB156 Mytilus edulis SB Not_applicable	France_Pointe er Fosse CB156 Mytilus edulis SB Not_applicable	biota
France_Bonne Anse - Centre CB156 Ruditapes philippinarum SB Not_applicable	France_Bonne Anse - Centre CB156 Ruditapes philippinarum SB Not_applicable	biota
France_Joalland (b) CB156 Crassostrea gigas SB Not_applicable	France_Joalland (b) CB156 Crassostrea gigas SB Not_applicable	biota
France_L'Eguille CB156 Crassostrea gigas SB Not_applicable	France_L'Eguille CB156 Crassostrea gigas SB Not_applicable	biota
France_La Pointe de la Roche CB156 Mytilus edulis SB Not_applicable	France_La Pointe de la Roche CB156 Mytilus edulis SB Not_applicable	biota
France_Agoût CB156 Ruditapes philippinarum SB Not_applicable	France_Agoût CB156 Ruditapes philippinarum SB Not_applicable	biota
France_La Touze CB156 Ruditapes decussatus SB Not_applicable	France_La Touze CB156 Ruditapes decussatus SB Not_applicable	biota
France_Les Rouches CB156 Ruditapes philippinarum SB Not_applicable	France_Les Rouches CB156 Ruditapes philippinarum SB Not_applicable	biota
France_Capbreton ouest CB156 Mytilus edulis SB Not_applicable	France_Capbreton ouest CB156 Mytilus edulis SB Not_applicable	biota
France_Ciboure - La Nivelle CB156 Crassostrea gigas SB Not_applicable	France_Ciboure - La Nivelle CB156 Crassostrea gigas SB Not_applicable	biota
France_Grand traict 2 CB156 Cerastoderma edule SB Not_applicable	France_Grand traict 2 CB156 Cerastoderma edule SB Not_applicable	biota
France_Le Croisic CB156 Mytilus edulis SB Not_applicable	France_Le Croisic CB156 Mytilus edulis SB Not_applicable	biota
France_Le Guilvin CB156 Crassostrea gigas SB Not_applicable	France_Le Guilvin CB156 Crassostrea gigas SB Not_applicable	biota
France_Men er Roue CB156 Crassostrea gigas SB Not_applicable	France_Men er Roue CB156 Crassostrea gigas SB Not_applicable	biota
France_Talmont CB156 Crassostrea gigas SB Not_applicable	France_Talmont CB156 Crassostrea gigas SB Not_applicable	biota
France_Pontaillac CB156 Crassostrea gigas SB Not_applicable	France_Pontaillac CB156 Crassostrea gigas SB Not_applicable	biota
France_Beg er Vil CB156 Crassostrea gigas SB Not_applicable	France_Beg er Vil CB156 Crassostrea gigas SB Not_applicable	biota
France_Bourgneuf - Coupelasse CB156 Crassostrea gigas SB Not_applicable	France_Bourgneuf - Coupelasse CB156 Crassostrea gigas SB Not_applicable	biota
Norway_31A Solbergstrand HCB Mytilus edulis SB Not_applicable	Norway_31A Solbergstrand HCB Mytilus edulis SB Not_applicable	biota
Norway_I304 Gåsøya HCB Mytilus edulis SB Not_applicable	Norway_I304 Gåsøya HCB Mytilus edulis SB Not_applicable	biota
Norway_36A1 Tjøme HCB Mytilus edulis SB Not_applicable	Norway_36A1 Tjøme HCB Mytilus edulis SB Not_applicable	biota
Norway_33F Sande (east side) HCB Platichthys flesus LI Not_applicable	Norway_33F Sande (east side) HCB Platichthys flesus LI Not_applicable	biota
Norway_36B Færder area HCB Gadus morhua LI Not_applicable	Norway_36B Færder area HCB Gadus morhua LI Not_applicable	biota
Norway_36F Færder area HCB Limanda limanda LI Not_applicable	Norway_36F Færder area HCB Limanda limanda LI Not_applicable	biota
Norway_I301 Akershuskaia HCB Mytilus edulis SB Not_applicable	Norway_I301 Akershuskaia HCB Mytilus edulis SB Not_applicable	biota
Norway_71A Bjørkøya (Risøyodden) HCB Mytilus edulis SB Not_applicable	Norway_71A Bjørkøya (Risøyodden) HCB Mytilus edulis SB Not_applicable	biota
Sweden_Väderöarna HCB Clupea harengus MU Not_applicable	Sweden_Väderöarna HCB Clupea harengus MU Not_applicable	biota
Sweden_E~W FLADEN HCB Clupea harengus MU Not_applicable	Sweden_E/W FLADEN HCB Clupea harengus MU Not_applicable	biota
Sweden_E~W FLADEN HCB Gadus morhua LI Not_applicable	Sweden_E/W FLADEN HCB Gadus morhua LI Not_applicable	biota
Norway_30B Oslo City area HCB Gadus morhua LI Not_applicable	Norway_30B Oslo City area HCB Gadus morhua LI Not_applicable	biota
Norway_I133 Odderø (west) HCB Mytilus edulis SB Not_applicable	Norway_I133 Odderø (west) HCB Mytilus edulis SB Not_applicable	biota
Norway_I712 Gjemesholmen HCB Mytilus edulis SB Not_applicable	Norway_I712 Gjemesholmen HCB Mytilus edulis SB Not_applicable	biota
Sweden_Fjällbacka HCB Zoarces viviparus MU Not_applicable	Sweden_Fjällbacka HCB Zoarces viviparus MU Not_applicable	biota
United Kingdom_Anglia_Orwell_sh01 HCB Mytilus edulis SB Not_applicable	United Kingdom_Anglia_Orwell_sh01 HCB Mytilus edulis SB Not_applicable	biota
Germany_Nney_Myt_1 HCB Mytilus edulis SB Not_applicable	Germany_Nney_Myt_1 HCB Mytilus edulis SB Not_applicable	biota
Germany_Spog_Myt_1 HCB Mytilus edulis SB Not_applicable	Germany_Spog_Myt_1 HCB Mytilus edulis SB Not_applicable	biota
Germany_Bork_Myt_1 HCB Mytilus edulis SB Not_applicable	Germany_Bork_Myt_1 HCB Mytilus edulis SB Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi01 HCB Limanda limanda LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi01 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi03 HCB Limanda limanda LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi03 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi03 HCB Pleuronectes platessa LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi03 HCB Pleuronectes platessa LI Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi05 HCB Limanda limanda LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi05 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_Anglia_Oblackwat_sh01 HCB Mytilus edulis SB Not_applicable	United Kingdom_Anglia_Oblackwat_sh01 HCB Mytilus edulis SB Not_applicable	biota
United Kingdom_Anglia_ThamesLw_sh01 HCB Mytilus edulis SB Not_applicable	United Kingdom_Anglia_ThamesLw_sh01 HCB Mytilus edulis SB Not_applicable	biota
Denmark_RKB-NF23 HCB Platichthys flesus MU Not_applicable	Denmark_RKB-NF23 HCB Platichthys flesus MU Not_applicable	biota
Germany_NBOF3 HCB Zoarces viviparus MU Not_applicable	Germany_NBOF3 HCB Zoarces viviparus MU Not_applicable	biota
Germany_NBOF8 HCB Zoarces viviparus MU Not_applicable	Germany_NBOF8 HCB Zoarces viviparus MU Not_applicable	biota
Denmark_DMU R1035 HCB Pleuronectes platessa LI Not_applicable	Denmark_DMU R1035 HCB Pleuronectes platessa LI Not_applicable	biota
Denmark_DMU R1035 HCB Pleuronectes platessa MU Not_applicable	Denmark_DMU R1035 HCB Pleuronectes platessa MU Not_applicable	biota
United Kingdom_HumWash_HWInter_fi02 HCB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWInter_fi02 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWInter_fi01 HCB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWInter_fi01 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 HCB Pleuronectes platessa LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 HCB Pleuronectes platessa LI Not_applicable	biota
United Kingdom_HumWash_Witham_sh01 HCB Mytilus edulis SB Not_applicable	United Kingdom_HumWash_Witham_sh01 HCB Mytilus edulis SB Not_applicable	biota
Germany_NBOF8 HCB Larus argentatus EH Not_applicable	Germany_NBOF8 HCB Larus argentatus EH Not_applicable	biota
The Netherlands_BOCHTVWTM HCB Crassostrea gigas SB Not_applicable	The Netherlands_BOCHTVWTM HCB Crassostrea gigas SB Not_applicable	biota
The Netherlands_KNUITHK HCB Mytilus edulis SB Not_applicable	The Netherlands_KNUITHK HCB Mytilus edulis SB Not_applicable	biota
Germany_WuKu_Myt_1 HCB Mytilus edulis SB Not_applicable	Germany_WuKu_Myt_1 HCB Mytilus edulis SB Not_applicable	biota
Germany_AuWe_F_1 HCB Platichthys flesus MU Not_applicable	Germany_AuWe_F_1 HCB Platichthys flesus MU Not_applicable	biota
Germany_Balt_F_1 HCB Platichthys flesus MU Not_applicable	Germany_Balt_F_1 HCB Platichthys flesus MU Not_applicable	biota
Germany_Jade_F_1 HCB Platichthys flesus MU Not_applicable	Germany_Jade_F_1 HCB Platichthys flesus MU Not_applicable	biota
Germany_Jade_Myt_1 HCB Mytilus edulis SB Not_applicable	Germany_Jade_Myt_1 HCB Mytilus edulis SB Not_applicable	biota
Germany_JaBu_Myt_1 HCB Mytilus edulis SB Not_applicable	Germany_JaBu_Myt_1 HCB Mytilus edulis SB Not_applicable	biota
The Netherlands_TERSLNWT40 HCB Pleuronectes platessa LI Not_applicable	The Netherlands_TERSLNWT40 HCB Pleuronectes platessa LI Not_applicable	biota
The Netherlands_KNUITHK HCB Crassostrea gigas SB Not_applicable	The Netherlands_KNUITHK HCB Crassostrea gigas SB Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi02 HCB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi02 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi03 HCB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi03 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi01 HCB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi01 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi04 HCB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi04 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 HCB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi01 HCB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi01 HCB Limanda limanda LI Not_applicable	biota
Belgium_BCP HCB Platichthys flesus MU Not_applicable	Belgium_BCP HCB Platichthys flesus MU Not_applicable	biota
Germany_AuWe_F_1 HCB Platichthys flesus LI Not_applicable	Germany_AuWe_F_1 HCB Platichthys flesus LI Not_applicable	biota
Germany_Balt_F_1 HCB Platichthys flesus LI Not_applicable	Germany_Balt_F_1 HCB Platichthys flesus LI Not_applicable	biota
Germany_Jade_F_1 HCB Platichthys flesus LI Not_applicable	Germany_Jade_F_1 HCB Platichthys flesus LI Not_applicable	biota
The Netherlands_DOGGBK HCB Pleuronectes platessa LI Not_applicable	The Netherlands_DOGGBK HCB Pleuronectes platessa LI Not_applicable	biota
The Netherlands_IJMDWT80 HCB Pleuronectes platessa LI Not_applicable	The Netherlands_IJMDWT80 HCB Pleuronectes platessa LI Not_applicable	biota
The Netherlands_NOORDWWT HCB Platichthys flesus LI Not_applicable	The Netherlands_NOORDWWT HCB Platichthys flesus LI Not_applicable	biota
The Netherlands_PAAPGTGRDPT HCB Platichthys flesus LI Not_applicable	The Netherlands_PAAPGTGRDPT HCB Platichthys flesus LI Not_applicable	biota
Belgium_DVZ_KNO HCB Mytilus edulis SB Not_applicable	Belgium_DVZ_KNO HCB Mytilus edulis SB Not_applicable	biota
Belgium_DVZ_NWP HCB Mytilus edulis SB Not_applicable	Belgium_DVZ_NWP HCB Mytilus edulis SB Not_applicable	biota
Belgium_DVZ_OST HCB Mytilus edulis SB Not_applicable	Belgium_DVZ_OST HCB Mytilus edulis SB Not_applicable	biota
Belgium_BCP HCB Platichthys flesus LI Not_applicable	Belgium_BCP HCB Platichthys flesus LI Not_applicable	biota
The Netherlands_MIDDGBWPMLPT HCB Platichthys flesus LI Not_applicable	The Netherlands_MIDDGBWPMLPT HCB Platichthys flesus LI Not_applicable	biota
Germany_FOE-N01 HCB Limanda limanda LI Not_applicable	Germany_FOE-N01 HCB Limanda limanda LI Not_applicable	biota
Ireland_Cromane HCB Crassostrea gigas SB Not_applicable	Ireland_Cromane HCB Crassostrea gigas SB Not_applicable	biota
United Kingdom_Severn_Camel_sh02 HCB Mytilus edulis SB Not_applicable	United Kingdom_Severn_Camel_sh02 HCB Mytilus edulis SB Not_applicable	biota
Ireland_Lough Mahon HCB Mytilus edulis SB Not_applicable	Ireland_Lough Mahon HCB Mytilus edulis SB Not_applicable	biota
United Kingdom_Severn_MilfordHav_sh01 HCB Mytilus edulis SB Not_applicable	United Kingdom_Severn_MilfordHav_sh01 HCB Mytilus edulis SB Not_applicable	biota
United Kingdom_Severn_SeInter_fi01 HCB Limanda limanda LI Not_applicable	United Kingdom_Severn_SeInter_fi01 HCB Limanda limanda LI Not_applicable	biota
United Kingdom_Severn_SeOpenSeaE_fi01 HCB Limanda limanda LI Not_applicable	United Kingdom_Severn_SeOpenSeaE_fi01 HCB Limanda limanda LI Not_applicable	biota
Ireland_Bandon Estuary Lower HCB Mytilus edulis SB Not_applicable	Ireland_Bandon Estuary Lower HCB Mytilus edulis SB Not_applicable	biota
Ireland_Bantry Bay Inner HCB Mytilus edulis SB Not_applicable	Ireland_Bantry Bay Inner HCB Mytilus edulis SB Not_applicable	biota
Ireland_Cork Harbour HCB Mytilus edulis SB Not_applicable	Ireland_Cork Harbour HCB Mytilus edulis SB Not_applicable	biota
Ireland_Cromane HCB Mytilus edulis SB Not_applicable	Ireland_Cromane HCB Mytilus edulis SB Not_applicable	biota
Ireland_Glengariff HCB Mytilus edulis SB Not_applicable	Ireland_Glengariff HCB Mytilus edulis SB Not_applicable	biota
Ireland_Kilmakillogue HCB Mytilus edulis SB Not_applicable	Ireland_Kilmakillogue HCB Mytilus edulis SB Not_applicable	biota
Ireland_Owenacurra Estuary HCB Mytilus edulis SB Not_applicable	Ireland_Owenacurra Estuary HCB Mytilus edulis SB Not_applicable	biota
Ireland_Ringaskiddy HCB Mytilus edulis SB Not_applicable	Ireland_Ringaskiddy HCB Mytilus edulis SB Not_applicable	biota
Ireland_Roaringwater Bay Inner HCB Mytilus edulis SB Not_applicable	Ireland_Roaringwater Bay Inner HCB Mytilus edulis SB Not_applicable	biota
Ireland_Roaringwater Bay Outer Stn 1 HCB Mytilus edulis SB Not_applicable	Ireland_Roaringwater Bay Outer Stn 1 HCB Mytilus edulis SB Not_applicable	biota
Ireland_Cork Harbour North Channel HCB Mytilus edulis SB Not_applicable	Ireland_Cork Harbour North Channel HCB Mytilus edulis SB Not_applicable	biota
Ireland_Kenmare River Outer Stn 1 HCB Mytilus edulis SB Not_applicable	Ireland_Kenmare River Outer Stn 1 HCB Mytilus edulis SB Not_applicable	biota
Ireland_Quigleys Point HCB Ostrea edulis SB Not_applicable	Ireland_Quigleys Point HCB Ostrea edulis SB Not_applicable	biota
Ireland_Fenit HCB Mytilus edulis SB Not_applicable	Ireland_Fenit HCB Mytilus edulis SB Not_applicable	biota
Ireland_Ballysadare Bay HCB Mytilus edulis SB Not_applicable	Ireland_Ballysadare Bay HCB Mytilus edulis SB Not_applicable	biota
Ireland_Broadhaven Bay HCB Mytilus edulis SB Not_applicable	Ireland_Broadhaven Bay HCB Mytilus edulis SB Not_applicable	biota
Ireland_Bruckless HCB Mytilus edulis SB Not_applicable	Ireland_Bruckless HCB Mytilus edulis SB Not_applicable	biota
Ireland_Clew Bay North HCB Mytilus edulis SB Not_applicable	Ireland_Clew Bay North HCB Mytilus edulis SB Not_applicable	biota
Ireland_Corrib Estuary HCB Mytilus edulis SB Not_applicable	Ireland_Corrib Estuary HCB Mytilus edulis SB Not_applicable	biota
Ireland_Gweebarra Bay HCB Mytilus edulis SB Not_applicable	Ireland_Gweebarra Bay HCB Mytilus edulis SB Not_applicable	biota
Ireland_Inch Lough HCB Mytilus edulis SB Not_applicable	Ireland_Inch Lough HCB Mytilus edulis SB Not_applicable	biota
Ireland_Kilkieran Bay North HCB Mytilus edulis SB Not_applicable	Ireland_Kilkieran Bay North HCB Mytilus edulis SB Not_applicable	biota
Ireland_Kinvara HCB Mytilus edulis SB Not_applicable	Ireland_Kinvara HCB Mytilus edulis SB Not_applicable	biota
Ireland_Lee K Estuary HCB Mytilus edulis SB Not_applicable	Ireland_Lee K Estuary HCB Mytilus edulis SB Not_applicable	biota
Ireland_Maharees HCB Ostrea edulis SB Not_applicable	Ireland_Maharees HCB Ostrea edulis SB Not_applicable	biota
Ireland_Mulroy Bay - Broadwater HCB Mytilus edulis SB Not_applicable	Ireland_Mulroy Bay - Broadwater HCB Mytilus edulis SB Not_applicable	biota
Ireland_Quigleys Point HCB Mytilus edulis SB Not_applicable	Ireland_Quigleys Point HCB Mytilus edulis SB Not_applicable	biota
Ireland_Rosses Point HCB Mytilus edulis SB Not_applicable	Ireland_Rosses Point HCB Mytilus edulis SB Not_applicable	biota
Ireland_Shannon Estuary - Aughinish HCB Mytilus edulis SB Not_applicable	Ireland_Shannon Estuary - Aughinish HCB Mytilus edulis SB Not_applicable	biota
Ireland_Sligo Bay HCB Mytilus edulis SB Not_applicable	Ireland_Sligo Bay HCB Mytilus edulis SB Not_applicable	biota
Ireland_Swilly Estuary HCB Mytilus edulis SB Not_applicable	Ireland_Swilly Estuary HCB Mytilus edulis SB Not_applicable	biota
Ireland_Tralee Bay Inner HCB Ostrea edulis SB Not_applicable	Ireland_Tralee Bay Inner HCB Ostrea edulis SB Not_applicable	biota
Ireland_Gweebarra Estuary HCB Mytilus edulis SB Not_applicable	Ireland_Gweebarra Estuary HCB Mytilus edulis SB Not_applicable	biota
Ireland_Clarenbridge HCB Crassostrea gigas SB Not_applicable	Ireland_Clarenbridge HCB Crassostrea gigas SB Not_applicable	biota
Ireland_Drumcliff HCB Crassostrea gigas SB Not_applicable	Ireland_Drumcliff HCB Crassostrea gigas SB Not_applicable	biota
Ireland_Westport Bay HCB Mytilus edulis SB Not_applicable	Ireland_Westport Bay HCB Mytilus edulis SB Not_applicable	biota
Ireland_Killary Harbour Inner HCB Mytilus edulis SB Not_applicable	Ireland_Killary Harbour Inner HCB Mytilus edulis SB Not_applicable	biota
